"LaboratoryLogicalModel.LabTask.Requester","LaboratoryLogicalModel.LabTask.Requester","","","",1,1,"","","","Reference {[]} {[]}
","Laboratory Task Requester","The requester of the lab order ","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Requester",1,1,"","","","FhirTask.owner","FhirTask.owner","LaboratoryTask.owner"
"LaboratoryLogicalModel.LabTask.Input","LaboratoryLogicalModel.LabTask.Input","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Laboratory Task Input","Information used to perform task","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Input",0,*,"","","","FhirTask.input","FhirTask.input","LaboratoryTask.input"
"LaboratoryLogicalModel.LabTask.Result","LaboratoryLogicalModel.LabTask.Result","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Laboratory Task Result","Lab Order Result","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.Result",0,*,"","","","FhirTask.output","FhirTask.output","LaboratoryTask.output"
"LaboratoryLogicalModel.LabTask.OrderDate","LaboratoryLogicalModel.LabTask.OrderDate","","","",1,1,"","","","date {[]} {[]}
","Laboratory Task OrderDate","Date Lab Order was authored on","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.OrderDate",1,1,"","","Sample.enteredDate","FhirTask.dateCreated","FhirTask.dateCreated","LaboratoryTask.authoredOn"
"LaboratoryLogicalModel.LabTask.DateModified","LaboratoryLogicalModel.LabTask.DateModified","","","",0,1,"","","","date {[]} {[]}
","Laboratory Task DateModified","Date Lab Order was modified on","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabTask.DateModified",0,1,"","","","FhirTask.dateChanged","FhirTask.dateChanged","LaboratoryTask.lastModified"
"LaboratoryLogicalModel.LabOrder","LaboratoryLogicalModel.LabOrder","","","",0,1,"","","","BackboneElement {[]} {[]}
","Laboratory  Order Logical Model","Logical model of a Laboratory Order","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder",0,1,"","","Analysis","TestOrder","TestOrder","LaboratoryServiceRequest"
"LaboratoryLogicalModel.LabOrder.Id","LaboratoryLogicalModel.LabOrder.Id","","","",1,1,"","","","id {[]} {[]}
","Laboratory Order Id","Laboratory Order Logical Id","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder.Id",1,1,"","","Analysis.fhirUuid","TestOrder.uuid","TestOrder.uuid","LaboratoryServiceRequest.id"
"LaboratoryLogicalModel.LabOrder.Status","LaboratoryLogicalModel.LabOrder.Status","","","",0,1,"","","","code {[]} {[]}
","Laboratory Order Status","Laboratory Order Status","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder.Status",0,1,"","","Analysis.status","Task.status","Task.status","LaboratoryServiceRequest.status"
"LaboratoryLogicalModel.LabOrder.LabTest","LaboratoryLogicalModel.LabOrder.LabTest","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Laboratory Order LabTest","LabTest being requested/ordered","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder.LabTest",1,1,"","","Analysis.test","TestOrder.concept","TestOrder.concept","LaboratoryServiceRequest.code"
"LaboratoryLogicalModel.LabOrder.Patient","LaboratoryLogicalModel.LabOrder.Patient","","","",1,1,"","","","Reference {[]} {[]}
","Laboratory Order Patient","The subject of the lab order","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder.Patient",1,1,"","","Patient","TestOrder.patient","TestOrder.patient","LaboratoryServiceRequest.subject"
"LaboratoryLogicalModel.LabOrder.Requester","LaboratoryLogicalModel.LabOrder.Requester","","","",1,1,"","","","Reference {[]} {[]}
","Laboratory Order Requester","The requester of the lab order","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder.Requester",1,1,"","","Provider","TestOrder.orderer","TestOrder.orderer","LaboratoryServiceRequest.requester"
"LaboratoryLogicalModel.LabOrder.Perfomer","LaboratoryLogicalModel.LabOrder.Perfomer","","","",1,1,"","","","Reference {[]} {[]}
","Laboratory Order Perfomer","The Perfomer of the lab order","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder.Perfomer",1,1,"","","","Task.owner","Task.owner","LaboratoryServiceRequest.performer"
"LaboratoryLogicalModel.LabOrder.OrderDate","LaboratoryLogicalModel.LabOrder.OrderDate","","","",1,1,"","","","date {[]} {[]}
","Laboratory Order OrderDate","Date Lab Order was authored on","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabOrder.OrderDate",1,1,"","","","TestOrder.effectiveEndDate","TestOrder.effectiveEndDate","LaboratoryServiceRequest.authoredOn"
"LaboratoryLogicalModel.LabResult","LaboratoryLogicalModel.LabResult","","","",0,*,"","","","BackboneElement {[]} {[]}
","Result for Lab Orders","Result for Lab Orders","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult",0,*,"","","Analysis","Obs","Obs","LaboratoryDiagnosticReport"
"LaboratoryLogicalModel.LabResult.Id","LaboratoryLogicalModel.LabResult.Id","","","",1,1,"","","","id {[]} {[]}
","LabResult Logical Id","LabResult Logical Id","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.Id",1,1,"","","Analysis.fhirUuid","Obs.uuid","Obs.uuid","LaboratoryDiagnosticReport.id"
"LaboratoryLogicalModel.LabResult.Status","LaboratoryLogicalModel.LabResult.Status","","","",1,1,"","","","code {[]} {[]}
","LabResult Status","LabResult Status","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.Status",1,1,"","","Analysis.status","Obs.status","Obs.status","LaboratoryDiagnosticReport.status"
"LaboratoryLogicalModel.LabResult.LabTest","LaboratoryLogicalModel.LabResult.LabTest","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Lab Test for LabResult","Lab Test for LabResult","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.LabTest",1,1,"","","Analysis.test","Obs.concept","Obs.concept","LaboratoryDiagnosticReport.code"
"LaboratoryLogicalModel.LabResult.Category","LaboratoryLogicalModel.LabResult.Category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","LabResult Category","LabResult Category","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.Category",1,1,"","","","","","LaboratoryDiagnosticReport.category"
"LaboratoryLogicalModel.LabResult.Encounter","LaboratoryLogicalModel.LabResult.Encounter","","","",1,1,"","","","Reference {[]} {[]}
","LabResult Encounter","Encounter during which this LabResult originated","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.Encounter",1,1,"","","","Obs.encounter","Obs.encounter","LaboratoryDiagnosticReport.encounter"
"LaboratoryLogicalModel.LabResult.Encounter","LaboratoryLogicalModel.LabResult.Encounter","","","",1,1,"","","","Reference {[]} {[]}
","LabResult Patient","The subject to whom the  LabResult belongs","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.Encounter",1,1,"","","Patient","Obs.person","Obs.person","LaboratoryDiagnosticReport.subject"
"LaboratoryLogicalModel.LabResult.DateCreated","LaboratoryLogicalModel.LabResult.DateCreated","","","",1,1,"","","","date {[]} {[]}
","LabResult DateCreated","Date Lab result was Created","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.DateCreated",1,1,"","","","Obs.dateCreated","Obs.dateCreated","LaboratoryDiagnosticReport.effectiveDateTime"
"LaboratoryLogicalModel.LabResult.DateCreated","LaboratoryLogicalModel.LabResult.DateCreated","","","",1,*,"","","","Reference {[]} {[]}
","LabResult Observation","Observation for the LabResult","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.LabResult.DateCreated",1,*,"","","Result","Obs.groupMembers","Obs.groupMembers","LaboratoryDiagnosticReport.result"
"LaboratoryLogicalModel.Observation","LaboratoryLogicalModel.Observation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Observation for Lab Orders","Observation for Lab Order Results","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation",0,1,"","","Result","Obs","Obs","LaboratoryObservation"
"LaboratoryLogicalModel.Observation.Id","LaboratoryLogicalModel.Observation.Id","","","",1,1,"","","","BackboneElement {[]} {[]}
","Observation Logical Id","Observation Logical Id","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.Id",1,1,"","","Result.fhirUuid","Obs.uuid","Obs.uuid","LaboratoryObservation.id"
"LaboratoryLogicalModel.Observation.Identifier","LaboratoryLogicalModel.Observation.Identifier","","","",0,1,"","","","Identifier {[]} {[]}
","An identifier for this Observation","Observation Identifier","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.Identifier",0,1,"","","Result.fhirUuid","","","LaboratoryObservation.identifier"
"LaboratoryLogicalModel.Observation.Status","LaboratoryLogicalModel.Observation.Status","","","",1,1,"","","","code {[]} {[]}
","Observation Status","Observation Status","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.Status",1,1,"","","Result.analysis.status","Obs.status","Obs.status","LaboratoryObservation.status"
"LaboratoryLogicalModel.Observation.Encounter","LaboratoryLogicalModel.Observation.Encounter","","","",1,1,"","","","Reference {[]} {[]}
","Observation Encounter","Encounter during which this Observation originated","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.Encounter",1,1,"","","","Obs.encounter","Obs.encounter","LaboratoryObservation.encounter"
"LaboratoryLogicalModel.Observation.Encounter","LaboratoryLogicalModel.Observation.Encounter","","","",1,1,"","","","Reference {[]} {[]}
","Observation Patient","The subject to whom the  Observation belongs","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.Encounter",1,1,"","","Patient","Obs.person","Obs.person","LaboratoryObservation.subject"
"LaboratoryLogicalModel.Observation.LabTest","LaboratoryLogicalModel.Observation.LabTest","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Lab Test for Observation","Lab Test for Observation","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.LabTest",1,1,"","","","Obs.concept","Obs.concept","LaboratoryObservation.code"
"LaboratoryLogicalModel.Observation.Value","LaboratoryLogicalModel.Observation.Value","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value  for Observation","Value for Observation","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.Value",1,1,"","","Result.value","Obs.value[x]","Obs.value[x]","LaboratoryObservation.value[x]"
"LaboratoryLogicalModel.Observation.LabTest","LaboratoryLogicalModel.Observation.LabTest","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Component for Observation","Component for Observation","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Observation.LabTest",0,*,"","","","Obs.groupMembers","Obs.groupMembers","LaboratoryObservation.component"
"LaboratoryLogicalModel.Encounter","LaboratoryLogicalModel.Encounter","","","",0,1,"","","","BackboneElement {[]} {[]}
","Encounter during which Lab Oders are Created","Encounter during which Lab Oders are Created","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Encounter",0,1,"","","","Encounter","Encounter","LaboratoryEncounter"
"LaboratoryLogicalModel.Encounter.Id","LaboratoryLogicalModel.Encounter.Id","","","",0,1,"","","","id {[]} {[]}
","Encounter Logical Id","Encounter Logical Id","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Encounter.Id",0,1,"","","","Encounter.uuid","Encounter.uuid","LaboratoryEncounter.id"
"LaboratoryLogicalModel.Encounter.Status","LaboratoryLogicalModel.Encounter.Status","","","",0,1,"","","","code {[]} {[]}
","Encounter Status","Encounter Status","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Encounter.Status",0,1,"","","","Encounter.status","Encounter.status","LaboratoryEncounter.status"
"LaboratoryLogicalModel.Encounter.Patient","LaboratoryLogicalModel.Encounter.Patient","","","",0,1,"","","","Reference {[]} {[]}
","Encounter Patient","Encounter Patient","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Encounter.Patient",0,1,"","","","Encounter.patient","Encounter.patient","LaboratoryEncounter.subject"
"LaboratoryLogicalModel.Encounter.Provider","LaboratoryLogicalModel.Encounter.Provider","","","",0,1,"","","","Reference {[]} {[]}
","Encounter Provider","Encounter Provider","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Encounter.Provider",0,1,"","","","Encounter.participant","Encounter.participant","LaboratoryEncounter.serviceProvider"
"LaboratoryLogicalModel.Encounter.Location","LaboratoryLogicalModel.Encounter.Location","","","",0,1,"","","","Reference {[]} {[]}
","Encounter Location","Encounter Location","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Encounter.Location",0,1,"","","","Encounter.location","Encounter.location","LaboratoryEncounter.location"
"LaboratoryLogicalModel.Requester","LaboratoryLogicalModel.Requester","","","",0,1,"","","","BackboneElement {[]} {[]}
","Lab Order Requester","Lab Order Requester","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Requester",0,1,"","","Provider","Provider","Provider","LaboratoryPractitioner"
"LaboratoryLogicalModel.Requester.Id","LaboratoryLogicalModel.Requester.Id","","","",1,1,"","","","id {[]} {[]}
","Requester Logical ID","Requester Logical ID","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Requester.Id",1,1,"","","Provider.fhirUuid","Provider.uuid","Provider.uuid","LaboratoryPractitioner.id"
"LaboratoryLogicalModel.Requester.Identifier","LaboratoryLogicalModel.Requester.Identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Requester Identifier","Requester Identifier","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Requester.Identifier",1,1,"","","","Provider.identifier","Provider.identifier","LaboratoryPractitioner.identifier"
"LaboratoryLogicalModel.Requester.Name","LaboratoryLogicalModel.Requester.Name","","","",1,1,"","","","HumanName {[]} {[]}
","Requester Name","Patient Name","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Requester.Name",1,1,"","","Provider.person.firstName","Provider.names","Provider.name","LaboratoryPractitioner.name"
"LaboratoryLogicalModel.Requester.Gender","LaboratoryLogicalModel.Requester.Gender","","","",1,1,"","","","code {[]} {[]}
","Requester Gender","Requester Gender","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Requester.Gender",1,1,"","","","Provider.gender","Provider.gender","LaboratoryPractitioner.gender"
"LaboratoryLogicalModel.Requester.BirthDate","LaboratoryLogicalModel.Requester.BirthDate","","","",0,1,"","","","date {[]} {[]}
","Requester Date of Birth","Requester Date of Birth","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Requester.BirthDate",0,1,"","","","Provider.birthdate","Provider.birthdate","LaboratoryPractitioner.birthDate"
"LaboratoryLogicalModel.Requester.Address","LaboratoryLogicalModel.Requester.Address","","","",0,*,"","","","Address {[]} {[]}
","Requester Address","Requester Address","","","","","","","","","",,,,,"",,,,"LaboratoryLogicalModel.Requester.Address",0,*,"","","","Provider.address","Provider.address","LaboratoryPractitioner.address"
